metal_type,pouring_temperature,mold_material,cooling_rate,section_thickness,pouring_speed,porosity,shrinkage,cold_shut
Cast Iron,1181.69,ceramic,high,11.63,1.92,0,0,0
Aluminum,747.87,sand,medium,36.87,0.61,0,1,1
Cast Iron,1254.71,ceramic,medium,24.6,2.49,1,1,1
Cast Iron,1159.31,sand,low,16.26,1.49,1,1,0
Aluminum,749.72,ceramic,medium,35.91,0.88,0,1,1
Aluminum,724.49,ceramic,medium,38.42,2.66,0,1,1
Cast Iron,1317.6,sand,high,13.1,0.99,0,0,0
Steel,1481.94,ceramic,medium,46.15,2.8,1,1,1
Cast Iron,1171.09,die,high,38.8,1.6,0,0,1
Cast Iron,1253.02,sand,medium,47.0,2.36,1,1,1
Cast Iron,1304.44,die,medium,19.27,1.87,0,0,0
Cast Iron,1277.56,sand,medium,47.27,1.14,1,1,1
Aluminum,713.11,ceramic,low,21.58,2.18,0,1,1
Cast Iron,1301.42,ceramic,high,7.43,2.89,1,0,0
Steel,1484.05,ceramic,low,39.33,2.42,1,1,1
Aluminum,716.15,sand,medium,36.66,2.01,0,0,1
Steel,1508.82,die,low,31.91,2.98,1,1,0
Steel,1460.46,die,high,27.05,1.16,0,0,0
Steel,1480.32,sand,medium,6.45,0.66,0,1,0
Steel,1569.1,sand,low,33.11,0.58,1,1,0
Aluminum,739.59,die,low,23.76,2.28,1,1,1
Aluminum,678.28,die,high,30.21,2.58,0,0,1
Steel,1478.55,die,low,24.32,2.09,1,1,0
Steel,1454.01,die,high,48.47,2.76,1,1,1
Aluminum,744.77,sand,medium,32.18,2.24,0,1,1
Aluminum,718.39,sand,medium,38.72,1.43,0,1,1
Aluminum,745.7,ceramic,low,47.14,0.95,0,1,1
Cast Iron,1322.77,die,medium,31.62,2.81,1,1,0
Cast Iron,1218.09,ceramic,medium,5.54,0.76,0,1,0
Cast Iron,1172.54,sand,low,6.54,1.86,1,1,0
Steel,1524.86,sand,medium,36.61,1.29,1,1,1
Cast Iron,1155.36,ceramic,low,17.56,1.18,0,1,0
Steel,1472.49,die,high,31.07,2.11,1,0,0
Steel,1485.01,die,high,14.1,1.08,0,0,0
Cast Iron,1283.13,die,high,17.16,2.79,1,0,0
Steel,1526.48,die,low,27.71,1.52,1,1,0
Cast Iron,1210.48,ceramic,low,48.9,2.19,1,1,1
Cast Iron,1262.95,ceramic,medium,32.73,2.32,1,1,1
Aluminum,662.52,sand,medium,47.13,2.21,0,1,1
Cast Iron,1301.14,die,medium,48.17,2.76,1,1,1
Aluminum,721.2,die,medium,14.36,1.08,0,0,1
Cast Iron,1193.3,die,medium,19.0,0.72,0,0,0
Cast Iron,1271.28,ceramic,low,39.65,0.64,0,1,1
Aluminum,700.33,die,low,44.0,2.69,1,1,1
Aluminum,656.08,ceramic,high,28.37,2.93,0,0,1
Cast Iron,1205.63,die,high,49.7,1.26,0,1,1
Steel,1599.92,die,high,5.52,2.23,1,0,0
Aluminum,659.95,sand,high,18.48,0.52,0,0,1
Steel,1525.96,die,low,33.04,0.97,1,1,0
Steel,1577.4,die,low,26.12,2.22,1,1,0
Steel,1495.1,sand,low,10.25,0.66,1,1,0
Aluminum,676.07,ceramic,medium,21.55,1.67,0,0,1
Steel,1583.62,ceramic,medium,6.15,2.16,1,0,0
Aluminum,680.48,die,high,33.92,2.41,0,0,1
Steel,1547.72,ceramic,medium,45.17,1.63,1,1,1
Cast Iron,1298.06,die,low,44.82,2.08,1,1,1
Cast Iron,1307.72,sand,high,36.48,1.85,1,1,1
Aluminum,749.48,sand,high,25.96,0.63,0,0,1
Cast Iron,1310.64,die,medium,28.04,2.36,1,1,0
Cast Iron,1281.4,sand,high,11.16,0.93,0,0,0
Steel,1584.32,sand,medium,20.35,0.58,0,1,0
Aluminum,740.57,die,medium,13.45,1.63,0,0,0
Steel,1595.97,die,high,41.95,2.66,1,1,0
Steel,1566.47,sand,medium,46.16,0.88,0,1,0
Steel,1479.24,ceramic,medium,29.16,0.53,0,1,0
Steel,1556.47,ceramic,medium,37.75,0.77,1,1,1
Steel,1461.27,die,medium,10.47,1.41,1,1,0
Steel,1497.69,die,high,32.38,1.95,1,1,0
Steel,1467.37,ceramic,low,36.63,0.98,1,1,0
Aluminum,744.99,sand,low,25.37,2.5,1,1,1
Cast Iron,1217.75,ceramic,medium,15.95,2.38,1,0,0
Steel,1556.98,ceramic,medium,44.48,2.24,1,1,1
Steel,1535.7,ceramic,medium,38.43,1.72,1,1,1
Steel,1466.13,ceramic,low,45.49,1.41,1,1,1
Steel,1534.2,die,medium,41.83,1.44,1,1,0
Steel,1549.15,die,high,49.57,1.76,0,1,0
Steel,1582.23,sand,high,13.65,0.69,0,0,0
Cast Iron,1164.02,sand,high,8.9,2.21,0,0,0
Cast Iron,1209.13,sand,low,20.17,1.38,1,1,1
Steel,1553.85,sand,medium,10.81,1.06,1,1,0
Cast Iron,1156.87,ceramic,medium,28.54,1.2,0,1,1
Aluminum,670.36,die,medium,33.49,0.95,0,0,1
Steel,1482.8,die,low,31.02,2.75,1,1,0
Aluminum,716.93,sand,low,16.67,0.92,0,1,1
Aluminum,678.6,sand,low,45.9,2.71,1,1,1
Steel,1539.94,ceramic,low,5.95,1.93,1,1,0
Cast Iron,1343.07,ceramic,high,20.66,2.67,1,0,0
Aluminum,729.32,sand,low,37.35,1.69,0,1,1
Steel,1499.94,die,low,39.51,2.82,1,1,1
Aluminum,697.24,die,low,23.73,1.03,0,1,1
Aluminum,670.07,die,medium,5.76,1.89,0,0,0
Aluminum,651.57,sand,medium,32.81,0.81,0,1,1
Aluminum,678.97,die,medium,7.84,1.62,0,0,0
Cast Iron,1223.88,ceramic,high,9.85,1.92,0,0,0
Aluminum,706.44,ceramic,high,34.26,2.01,0,0,1
Aluminum,744.41,sand,low,19.06,1.41,0,1,1
Aluminum,744.79,ceramic,medium,20.66,0.69,0,0,1
Cast Iron,1164.02,sand,high,26.91,2.14,1,0,1
Aluminum,711.46,die,medium,49.04,1.72,0,1,1
Aluminum,654.24,die,high,48.44,0.84,0,0,1
Cast Iron,1279.62,die,high,23.73,2.84,1,0,0
Cast Iron,1173.54,ceramic,low,16.95,2.89,1,1,0
Cast Iron,1339.28,sand,low,18.62,2.64,1,1,0
Aluminum,736.43,die,high,17.1,2.61,0,0,1
Cast Iron,1154.47,sand,low,28.95,0.75,0,1,1
Cast Iron,1306.43,die,high,32.31,2.98,1,1,0
Aluminum,713.59,ceramic,high,27.0,1.5,0,0,1
Cast Iron,1249.07,ceramic,medium,23.36,0.91,0,1,0
Aluminum,710.26,sand,low,14.51,2.53,1,1,1
Steel,1551.74,ceramic,low,26.71,1.06,1,1,0
Cast Iron,1326.89,ceramic,low,20.35,1.82,1,1,1
Steel,1565.1,sand,medium,29.37,0.82,0,1,0
Aluminum,707.54,die,medium,35.38,1.69,0,0,1
Cast Iron,1314.92,ceramic,medium,33.5,1.9,1,1,1
Aluminum,748.69,sand,low,25.81,1.61,0,1,1
Steel,1495.03,ceramic,low,30.02,0.67,0,1,0
Aluminum,661.84,ceramic,low,17.82,1.71,0,1,1
Cast Iron,1296.29,ceramic,medium,6.09,1.67,1,1,0
Cast Iron,1345.72,ceramic,medium,33.13,1.15,1,1,1
Steel,1467.51,sand,high,16.37,2.8,1,0,0
Aluminum,693.17,sand,medium,35.1,1.54,0,1,1
Cast Iron,1162.45,sand,high,38.62,2.66,0,0,1
Steel,1566.48,ceramic,low,46.22,0.77,1,1,1
Cast Iron,1339.74,ceramic,medium,48.12,1.3,0,1,1
Cast Iron,1249.8,ceramic,low,5.47,0.94,0,1,0
Aluminum,690.95,sand,low,49.57,1.52,0,1,1
Cast Iron,1331.54,ceramic,low,35.74,0.78,1,1,1
Aluminum,663.34,die,low,33.96,1.6,0,1,1
Cast Iron,1328.32,ceramic,medium,5.68,1.38,1,1,0
Steel,1508.82,die,low,43.76,1.06,1,1,0
Cast Iron,1261.88,ceramic,high,11.55,2.11,0,0,0
Aluminum,702.83,sand,medium,42.68,2.88,1,1,1
Aluminum,711.6,ceramic,low,5.7,1.02,0,1,1
